time (s);temperature(Degree Celcius)
0;40.2
15;38.0
30;36.5
45;35.5
60;34.6
75;33.7
90;33.0
105;32.4
120;31.6
135;31.1
150;30.5
165;30.3
180;29.7
195;29.4
210;29.0
225;28.6
240;28.4
255;28.2
270;28.0
285;27.7
300;27.6
315;27.4
330;27.1
345;27.0
360;26.8
375;26.7
390;26.5
405;26.4
420;26.4
435;26.3
450;26.2
